"(PDH-CSV 4.0)","\\SERVER01\Processor(_Total)\% Processor Time","\\SERVER01\Processor(_Total)\% Privileged Time","\\SERVER01\Memory\Available MBytes","\\SERVER01\PhysicalDisk(0 C:)\Avg. Disk sec/Read"
"04/23/2026 08:00:00.000","85.2","12.1","4096.0","0.008"
"04/23/2026 08:00:15.000","88.7","14.3","4090.0","0.009"
"04/23/2026 08:00:30.000","91.3","15.2","4085.0","0.007"
"04/23/2026 08:00:45.000","87.6","13.8","4082.0","0.010"
"04/23/2026 08:01:00.000","93.4","16.1","4078.0","0.008"
"04/23/2026 08:01:15.000","89.2","14.7","4075.0","0.009"
"04/23/2026 08:01:30.000","86.8","13.2","4071.0","0.007"
"04/23/2026 08:01:45.000","92.5","15.6","4068.0","0.010"
"04/23/2026 08:02:00.000","88.1","14.0","4064.0","0.008"
"04/23/2026 08:02:15.000","90.4","15.3","4061.0","0.009"
"04/23/2026 08:02:30.000","87.3","13.5","4058.0","0.007"
"04/23/2026 08:02:45.000","94.1","16.8","4055.0","0.011"
"04/23/2026 08:03:00.000","89.7","14.9","4052.0","0.008"
"04/23/2026 08:03:15.000","86.2","13.0","4049.0","0.009"
"04/23/2026 08:03:30.000","91.8","15.4","4046.0","0.007"
"04/23/2026 08:03:45.000","88.9","14.5","4043.0","0.010"
"04/23/2026 08:04:00.000","93.6","16.3","4040.0","0.008"
"04/23/2026 08:04:15.000","87.4","13.7","4037.0","0.009"
"04/23/2026 08:04:30.000","90.1","15.1","4034.0","0.007"
"04/23/2026 08:04:45.000","85.8","12.8","4031.0","0.010"
